Title;Number of characters;Number of lines;Script size (UTF-8);Script size (JSIS)
Mono no Aware wa Sai no Koro;762291;49187;2664;1777
Ore-tachi ni Tsubasa wa Nai AfterStory;403844;16747;1416;944
Soushuu Senshinkan Gakuen Bansenjin;854575;26350;2812;1874
Gunjou no Sora wo Koete;883400;30306;3014;2012
Mahoutsukai no Yoru;544873;23237;1813;1209
Shimaisou;48525;2607;166;111
Paradise Lost;673194;30223;2308;1540
Rui wa Tomo wo Yobu;1477987;109665;5196;3466
Ore-tachi ni Tsubasa wa Nai ~Prelude~;262599;9004;906;604
Amatsukaze ~Kugutsu Jinpuu-chou~;1863574;54109;6349;4232
Itsuka, Todoku, Ano Sora ni.;576658;31223;1995;1330
Nemurenu Hitsuji to Kodoku na Ookami -A Tale of Love, and Cutthroat-;416871;10551;1377;918
Maggot Baits;659129;18980;2234;1489
Zanmataisei Demonbane;1185470;66651;4164;2777
Hanachirasu;143686;6054;489;326
Daimeikyuu & Daimeiwaku -Great Edges in the Abyss-;630117;30563;2069;1379
Soushuu Senshinkan Gakuen: Hachimyoujin;1151208;34987;3772;2515
Kikokugai - The Cyber Slayer;145399;4305;476;317
Silverio Vendetta;854337;25961;2790;1860
Soukou Akki Muramasa;1224122;84048;4382;2928
Dies irae;1677049;59807;5717;3820
Ore-tachi ni Tsubasa wa Nai - Under the Innocent Sky.;1657574;57852;5672;3781
Vermilion -Bind of Blood-;856178;36634;2845;1897
Kajiri Kamui Kagura;1029684;32994;3583;2391
Albatross Koukairoku;809469;22337;2651;1767
